LAMMPS (2 Aug 2023 - Update 1)
Reading data file ...
  orthogonal box = (0 0 0) to (6.5850607 6.5850607 6.5850607)
  2 by 4 by 5 MPI processor grid
  reading atoms ...
  12 atoms
  read_data CPU = 0.022 seconds
Replication is creating a 6x6x6 = 216 times larger system...
  orthogonal box = (0 0 0) to (39.510364 39.510364 39.510364)
  2 by 4 by 5 MPI processor grid
  2592 atoms
  replicate CPU = 0.002 seconds
1728 atoms in group Ag
864 atoms in group Te
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 10.3
  ghost atom cutoff = 10.3
  binsize = 5.15, bins = 8 8 8
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.123 | 3.128 | 3.13 Mbytes
   Step          Temp          Press            Lx             Ly             Lz      
         0   400           -95782.829      39.510364      39.510364      39.510364    
      1000   407.05159      153.41549      36.679784      36.694889      36.692359    
      2000   401.59221      84.749569      36.682584      36.727448      36.692293    
      3000   394.27329      46.473087      36.691684      36.683314      36.696242    
      4000   417.40463     -374.58534      36.73099       36.702255      36.701878    
      5000   411.77799     -678.34883      36.795119      36.694054      36.642419    
      6000   405.54111      614.16269      36.631646      36.76776       36.675289    
      7000   410.87867      342.22817      36.707957      36.666831      36.722061    
      8000   397.56109      1329.9647      36.714408      36.710679      36.632566    
      9000   402.72546      1268.8026      36.646627      36.644107      36.753878    
     10000   404.7168       1113.6559      36.715569      36.635407      36.713605    
     11000   403.88489      366.5424       36.701888      36.720022      36.699984    
     12000   397.67829      1073.9049      36.704954      36.730083      36.634152    
     13000   397.87637      761.90085      36.681491      36.713059      36.716018    
     14000   387.77752     -408.5271       36.740166      36.667811      36.751291    
     15000   400.87753     -603.78141      36.678601      36.731412      36.7782      
     16000   393.63589     -439.46009      36.747848      36.714614      36.686105    
     17000   398.22857     -1331.5754      36.715834      36.755479      36.738955    
     18000   388.08742     -1269.7364      36.666058      36.800994      36.733126    
     19000   392.03128     -637.66894      36.766761      36.689254      36.716331    
     20000   396.13938     -1218.4169      36.671803      36.801252      36.710075    
     21000   397.14867     -1040.9743      36.774684      36.657795      36.746927    
     22000   411.95311      380.0181       36.690989      36.72025       36.713841    
     23000   406.96482      1881.6249      36.766464      36.658455      36.657294    
     24000   403.05364      1645.539       36.676478      36.673397      36.732746    
     25000   400.20566      2258.0946      36.711929      36.679935      36.686384    
     26000   402.79742     -82.946414      36.760974      36.652376      36.733822    
     27000   400.83088     -128.88745      36.704026      36.757464      36.685021    
     28000   398.91879      91.30586       36.734982      36.738481      36.679188    
     29000   395.61836     -583.72366      36.712432      36.650701      36.80398     
     30000   396.37428     -166.72539      36.730078      36.686539      36.740024    
     31000   400.17216      160.87032      36.67657       36.718057      36.747216    
     32000   402.57863     -1653.904       36.716006      36.779406      36.703065    
     33000   405.71556     -1750.7054      36.721529      36.671328      36.809525    
     34000   389.22872     -912.94527      36.745754      36.693198      36.706731    
     35000   405.80672     -1249.7485      36.719519      36.617697      36.820502    
     36000   392.00614     -2732.7139      36.802684      36.714009      36.723341    
     37000   400.21216     -1336.5472      36.7766        36.666874      36.717576    
     38000   393.30341     -455.25888      36.731636      36.681628      36.705855    
     39000   395.95818      426.03368      36.725185      36.749663      36.613732    
     40000   404.32656      501.08499      36.78123       36.718238      36.582648    
     41000   413.86207     -341.3145       36.676139      36.720033      36.745327    
     42000   400.94356      62.82786       36.742224      36.666186      36.686727    
     43000   400.30705     -121.01445      36.783981      36.626173      36.69706     
     44000   387.7637      -503.54222      36.669635      36.748198      36.708858    
     45000   388.01286     -527.79672      36.736715      36.724561      36.674604    
     46000   412.32439      300.26075      36.657051      36.702673      36.768073    
     47000   394.13687      441.16123      36.655619      36.693835      36.741883    
     48000   382.19074     -1474.3952      36.774103      36.641892      36.759128    
